appearance_id,capture_date,bee_number,assigned_tag,tag_type,tag_id,status,image_count,angles,declared_tags,decoder_statuses,review_flags,source_assigned_tag,source_status,reviewed_tag,review_status,review_note,domain_status,analysis_included
2026-05-08/bee-1,2026-05-08,1,,,,outside_domain,1,1,aruco:0,decoder_no_confirmation,decoder_did_not_confirm_all_images;same_tag_used_by_multiple_bee_numbers_same_day,aruco:0,assigned,,,,outside_domain,false
2026-05-08/bee-2,2026-05-08,2,,,,outside_domain,1,1,aruco:0,decoder_confirmed,same_tag_used_by_multiple_bee_numbers_same_day,aruco:0,assigned,,,,outside_domain,false
2026-05-08/bee-3,2026-05-08,3,,,,outside_domain,1,1,aruco:3952,decoder_confirmed,,aruco:3952,assigned,,,,outside_domain,false
2026-05-10/bee-1,2026-05-10,1,,,,outside_domain,1,1,aruco:2219,decoder_no_confirmation,decoder_did_not_confirm_all_images,aruco:2219,assigned,,,,outside_domain,false
2026-05-10/bee-2,2026-05-10,2,,,,outside_domain,1,1,,no_tag_decoded,decoder_did_not_confirm_all_images,,missing_tag,,,,outside_domain,false
2026-05-10/bee-3,2026-05-10,3,,,,outside_domain,1,1,aruco:2226,decoder_no_confirmation,decoder_did_not_confirm_all_images;same_tag_used_by_multiple_bee_numbers_same_day,aruco:2226,assigned,,,,outside_domain,false
2026-05-10/bee-4,2026-05-10,4,,,,outside_domain,1,1,,no_tag_decoded,decoder_did_not_confirm_all_images,,missing_tag,,,,outside_domain,false
2026-05-10/bee-5,2026-05-10,5,,,,outside_domain,1,1,aruco:2226,decoder_no_confirmation,decoder_did_not_confirm_all_images;same_tag_used_by_multiple_bee_numbers_same_day,aruco:2226,assigned,,,,outside_domain,false
2026-05-13/bee-1,2026-05-13,1,,,,outside_domain,2,1;2,aruco:4,decoder_conflict,decoder_competition_or_disagreement,aruco:4,assigned,,,,outside_domain,false
2026-05-21/bee-1,2026-05-21,1,aruco:104,aruco,104,assigned,2,1;2,aruco:104,decoder_confirmed;decoder_confirmed_with_competing_ids,decoder_competition_or_disagreement,aruco:104,assigned,aruco:104,confirmed,,in_domain,true
2026-05-21/bee-2,2026-05-21,2,aruco:96,aruco,96,assigned,2,1;2,,decoder_found_id,decoder_competition_or_disagreement,,missing_tag,aruco:96,confirmed,,in_domain,true
2026-05-21/bee-3,2026-05-21,3,aruco:121,aruco,121,assigned,2,1;2,aruco:121,decoder_conflict;decoder_no_confirmation,decoder_competition_or_disagreement;decoder_did_not_confirm_all_images,aruco:121,assigned,aruco:121,confirmed,,in_domain,true
2026-05-21/bee-4,2026-05-21,4,aruco:80,aruco,80,assigned,2,1;2,aruco:80,decoder_confirmed;decoder_conflict,decoder_competition_or_disagreement,aruco:80,assigned,aruco:80,confirmed,,in_domain,true
2026-05-21/bee-5,2026-05-21,5,aruco:79,aruco,79,assigned,2,1;2,aruco:79,decoder_confirmed;decoder_no_confirmation,decoder_did_not_confirm_all_images,aruco:79,assigned,aruco:79,confirmed,,in_domain,true
2026-05-21/bee-6,2026-05-21,6,aruco:129,aruco,129,assigned,2,1;2,aruco:3619,decoder_confirmed;decoder_no_confirmation,decoder_did_not_confirm_all_images;same_tag_used_by_multiple_bee_numbers_same_day,aruco:3619,assigned,aruco:129,confirmed,,in_domain,true
2026-05-21/bee-7,2026-05-21,7,aruco:95,aruco,95,assigned,2,1;2,aruco:95,decoder_conflict;decoder_no_confirmation,decoder_competition_or_disagreement;decoder_did_not_confirm_all_images,aruco:95,assigned,aruco:95,confirmed,,in_domain,true
2026-05-21/bee-8,2026-05-21,8,aruco:85,aruco,85,assigned,2,1;2,aruco:85,decoder_conflict;decoder_no_confirmation,decoder_competition_or_disagreement;decoder_did_not_confirm_all_images,aruco:85,assigned,aruco:85,confirmed,,in_domain,true
2026-05-21/bee-9,2026-05-21,9,aruco:100,aruco,100,assigned,2,1;2,aruco:3294,decoder_conflict,decoder_competition_or_disagreement,aruco:3294,assigned,aruco:100,confirmed,,in_domain,true
2026-05-21/bee-10,2026-05-21,10,aruco:100,aruco,100,assigned,1,1,aruco:100,decoder_conflict,decoder_competition_or_disagreement,aruco:100,assigned,aruco:100,confirmed,,in_domain,true
2026-05-21/bee-11,2026-05-21,11,aruco:90,aruco,90,assigned,2,1;2,aruco:90,decoder_conflict,decoder_competition_or_disagreement,aruco:90,assigned,aruco:90,confirmed,,in_domain,true
