tag_id,bee_number,first_assignment_date,recaptured,recapture_1_date,recapture_2_date,recapture_3_date
aruco:390,94,2026-06-11,true,2026-06-17,,
aruco:391,91,2026-06-11,false,,,
aruco:392,78,2026-06-10,false,,,
aruco:393,67,2026-06-10,false,,,
aruco:394,3,2026-06-11,false,,,
aruco:395,114,2026-06-11,false,,,
aruco:396,73,2026-06-10,false,,,
aruco:397,36,2026-06-11,true,2026-06-17,,
aruco:398,60,2026-06-10,false,,,
aruco:399,96,2026-06-11,false,,,
aruco:402,66,2026-06-11,false,,,
aruco:403,46,2026-06-11,false,,,
aruco:404,29,2026-06-11,false,,,
aruco:406,8,2026-06-11,false,,,
aruco:407,69,2026-06-11,false,,,
aruco:408,82,2026-06-10,false,,,
aruco:409,78;79,2026-06-11,false,,,
aruco:410,60,2026-06-11,false,,,
aruco:411,14,2026-06-11,false,,,
aruco:412,81,2026-06-11,false,,,
aruco:413,45,2026-06-10,false,,,
aruco:414,52,2026-06-11,false,,,
aruco:415,77,2026-06-11,false,,,
aruco:416,31,2026-06-11,true,2026-06-16,2026-06-17,
aruco:417,102;103,2026-06-10,true,2026-06-16,,
aruco:419,10,2026-06-11,false,,,
aruco:420,44,2026-06-10,false,,,
aruco:421,53,2026-06-11,false,,,
aruco:422,80,2026-06-11,false,,,
aruco:423,103,2026-06-11,false,,,
aruco:424,80,2026-06-10,false,,,
aruco:425,21,2026-06-11,false,,,
aruco:426,88,2026-06-10,false,,,
aruco:427,65,2026-06-10,false,,,
aruco:428,35,2026-06-10,true,2026-06-16,,
aruco:429,110,2026-06-11,false,,,
aruco:430,82,2026-06-11,false,,,
aruco:431,15,2026-06-11,true,2026-06-17,,
aruco:432,98,2026-06-11,false,,,
aruco:433,83,2026-06-11,false,,,
aruco:434,105,2026-06-10,false,,,
aruco:436,95,2026-06-10,false,,,
aruco:437,95,2026-06-11,false,,,
aruco:438,99,2026-06-11,false,,,
aruco:439,86,2026-06-11,false,,,
aruco:440,115,2026-06-11,false,,,
aruco:441,93,2026-06-10,true,2026-06-24,,
aruco:442,36,2026-06-10,false,,,
aruco:443,100,2026-06-11,false,,,
aruco:444,88,2026-06-11,false,,,
aruco:445,115,2026-06-10,false,,,
aruco:446,65,2026-06-11,false,,,
aruco:447,48,2026-06-10,false,,,
aruco:448,38,2026-06-10,false,,,
aruco:449,43,2026-06-11,true,2026-06-17,,
aruco:450,24,2026-06-11,false,,,
aruco:451,71,2026-06-10,false,,,
aruco:452,34,2026-06-10,false,,,
aruco:453,46,2026-06-10,true,2026-06-17,,
aruco:454,39,2026-06-11,false,,,
aruco:455,84,2026-06-10,false,,,
aruco:456,62,2026-06-10,true,2026-06-11,,
aruco:457,40,2026-06-11,false,,,
aruco:458,51,2026-06-10,false,,,
aruco:459,63,2026-06-10,false,,,
aruco:461,37,2026-06-11,false,,,
aruco:462,1,2026-06-11,true,2026-06-16,,
aruco:465,43,2026-06-10,false,,,
aruco:466,16,2026-06-11,false,,,
aruco:467,73,2026-06-11,true,2026-06-16,,
aruco:468,49,2026-06-10,false,,,
aruco:469,123,2026-06-11,false,,,
aruco:470,125,2026-06-11,false,,,
aruco:471,1,2026-06-16,false,,,
aruco:472,118,2026-06-11,false,,,
aruco:473,121,2026-06-11,false,,,
aruco:474,119,2026-06-11,false,,,
aruco:475,2,2026-06-16,true,2026-06-22,,
aruco:476,120,2026-06-11,true,2026-06-16,,
aruco:477,122,2026-06-11,false,,,
aruco:478,127,2026-06-11,false,,,
aruco:479,3,2026-06-16,false,,,
aruco:480,124,2026-06-11,false,,,
aruco:481,15,2026-06-16,false,,,
aruco:482,13,2026-06-24,false,,,
